con1	con1	trt1	trt2
EPHX1	25.86	42.72	89.59	84.03
ETNK2	1.87	3.97	1.65	1.22
ZMYM4	19.02	20.39	18.92	18.19
NEK7	29.48	35.38	40.42	37.55
RABGAP1L	10.29	8.84	16.6	13.48
PTPN14	21.25	17.1	20.42	20.91
UHMK1	19.36	20.79	22.63	22.51
TADA1	79.29	63.06	51.41	52.29
DYNLT5	0	0	0	0
MR1	4.25	7.43	4.3	3.87
HNRNPU	361.72	281.13	276.87	280.3
LINC00467	4.68	3.69	14.18	8.03
DDAH1	15.22	23.89	36.31	38.17
AK5	0.08	1.82	2.45	0.78
MIA3	42.43	51.39	35.17	38.39
DISP1	9.18	11.6	9.26	7.04
ENAH	97.65	116.95	253.5	231.12
CCSAP	5.59	3.92	6.08	6.39
DIPK1A	2.94	2.47	5.62	5.11
MOV10	33.18	41.95	43.55	41.44
PPM1J	0.86	0.36	1.04	0.88
SPAG17	0.01	0	0	0
GPR61	0.12	0	0	0.14
MFSD14A	26.91	23.29	23.81	22.76
SHCBP1L	0	0	0	0
NMNAT2	0.94	3.91	1.91	1.45
ZFYVE9	8.69	9.17	10.54	9.57
LRP8	26.99	23.84	21.05	17.53
CDCP2	0.03	0	0	0
SSBP3	38.25	28.61	36.65	37.35
PANK4	21.11	23.42	18.75	17.41
PEX10	14.23	11.56	9.78	9.41
SKI	19.61	16.53	25.32	23.76
LDLRAP1	17.34	20.65	21.57	21.67
EXTL1	0	0	0	0
GRHL3	0	0.23	0	0
UBXN11	6.91	8.3	3.56	3.29
EYA3	8.48	9.68	9.8	10.71
CD1D	0.01	0	0.06	0
CD1C	0	0	0	0
PPP1R15B	19.85	21.74	24.82	25.54
TAGLN2	813.12	681.6	614.11	647.61
ELK4	9.18	8.5	9.36	8.82
SLAMF8	0.47	0.4	0.07	0
SLC45A3	7.08	8.96	7.12	6.36
NBL1	108.93	92.45	81.07	84.78
DEDD	111.97	100.19	60.68	60.48
CDA	71.08	82.96	60.01	72.32
PINK1	51.29	62.57	83.87	85.03
B4GALT3	126.06	172.78	175.54	191.36
FCER1G	0.42	0.28	0.32	0.31
CACHD1	10.62	7.36	13.39	14.38
EPB41	15.03	15.45	13.7	13.34
CSRP1	119.35	159.76	199.5	200.21
CCDC24	0.43	1.43	1.14	1.24
CYB5R1	31.28	42.11	48.97	48.84
PSMD4	201.93	172.95	210.08	188.53
ATP13A2	13.71	9.17	11.71	12.48
PSMB4	416.3	471.19	480.37	456.61
BTG2	3.72	5.47	3.47	2.41
THEM4	8.98	6.71	8.53	8.44
BSDC1	27.93	36.3	43.51	43.37
ZBTB8A	6.2	6.74	5.82	5.76
SSU72	105.55	106.38	92.19	96.54
UBE2J2	75.4	75.74	55.49	55.17
ZNF362	20.56	15.26	14	11.26
S100A1	0.15	0.4	0.14	0.44
ZBTB7B	7.31	10.52	8.03	5.91
SHC1	65.49	74.45	49.19	54.93
ADAR	57.3	50.94	46.42	43.7
FDPS	145.69	163.01	85.25	79.58
SLC25A44	13.03	12.39	16.19	15.4
LMNA	455.7	346.33	425.7	386.64
BEND5	0.07	0.09	0.05	0.32
CZIB	35.57	46.56	60.3	60.26
ACOT11	2.07	2.81	1.27	0.62
PARS2	3.13	4.59	5.23	5.16
USP24	14.17	16.65	9.82	11.36
PRKAA2	1.14	1.44	1.89	1.79
KLHL21	41.96	47.49	43.67	38.4
ZSWIM5	0.04	0.05	0.21	0.17
SLC45A1	0.21	0.18	0.34	0.19
SELENON	28.74	25.56	18.88	19.74
JAK1	44.77	48.86	68.15	71.95
RAVER2	8.47	7.89	7.71	7.99
FBLIM1	29.4	33.4	15.9	12.2
PDPN	53.98	37.68	24.79	25.09
DHRS3	9.58	5.52	2.78	2.78
PEF1	62.08	62.93	38.01	36.09
RBBP4	149.83	127.32	124.28	111.96
TMCO4	8.41	7.58	1.94	1.97
ALPL	12.64	30.41	7.84	8.49
FAAP20	53.72	63.21	31.93	30.44
IL23R	0	0	0	0
NFIA	4.66	3.34	3.28	2.75
OMA1	3.58	3.16	4.19	4.31
MYSM1	250.93	262.59	244.9	280.21
TM2D1	21.52	31.25	25.33	30.91
USP1	66.69	41.41	32.81	31.75
NEXN	18.05	25.46	16.57	13.96
ADGRL4	6.52	6.57	3.42	2.65
TYW3	21.13	19.66	13.06	12.28
LHX8	0	0.03	0.07	0
SNX7	31.55	31.22	39.76	39.28
NTNG1	2.52	2.98	3.51	1.96
HENMT1	8.15	9.43	11.15	12.15
AKNAD1	0.24	0.37	0.47	0.19
C1orf52	23.76	23.21	20.07	27.39
ZNF326	18.95	16.65	15.76	18.18
BRINP3	0.02	0	0	0
KCNT2	0.01	0.11	0	0
AGL	6.52	6.08	7.98	8.61
VCAM1	0	0	0	0
EXTL2	20.22	21.72	23.49	24.69
SLC30A7	5.19	6.81	6.74	7.3
ZNF281	19.33	23.53	19.09	17
IGSF8	4.25	5.79	3.99	4.67
DDR2	17.95	26.13	6.37	8.19
OLFML2B	10.19	21.11	9.34	7.53
C1orf74	2.45	2.03	2.6	3.24
FLVCR1	4.79	4.44	3.38	3.95
ATF3	6.56	11.76	13.46	12.91
RBM15	9.61	7.99	5.75	5.73
IER5	14.66	14.96	23.79	22.25
BPNT1	23.09	20.49	27.03	19.2
C1orf115	2.01	2.62	1.71	1.85
NBPF20	0.27	0.19	0.48	0.33
ACP6	13.18	11.45	7.27	9.28
KIF26B	2.3	2.53	3.08	2.38
MAPKAPK2	67.63	73.35	93.44	87.73
IL24	1.26	0.75	0	0.04
FCAMR	0	0	0	0
CAPN2	174.54	174.54	128.11	120.63
DISC1	1.03	1.68	1.43	1.49
COQ8A	20.04	12.71	16.55	15.85
PYGO2	13.6	16.09	23.92	21.75
